2017-07-20 10:36:54.708 [http-nio-8080-exec-1] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:36:58.388 [http-nio-8080-exec-8] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:36:58.389 [http-nio-8080-exec-8] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:37:01.120 [http-nio-8080-exec-1] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:37:01.123 [http-nio-8080-exec-9] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:37:02.283 [http-nio-8080-exec-7] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'PATCH' not supported
2017-07-20 10:37:02.291 [http-nio-8080-exec-8] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'PATCH' not supported
2017-07-20 10:37:03.550 [http-nio-8080-exec-1] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:37:03.552 [http-nio-8080-exec-9] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:37:06.547 [pushExecuteTask-Thread] [WARN ] [com.alibaba.configcenter.registry.service.push.PushFlowControl] - ########## push speed 80 MB/s
2017-07-20 10:37:06.866 [http-nio-8080-exec-1] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:37:06.867 [http-nio-8080-exec-1] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:37:07.646 [pushExecuteTask-Thread] [WARN ] [com.alibaba.configcenter.registry.service.push.PushFlowControl] - current push speed: 0 MB/s, target: 80 MB/s, pushCount: 9
2017-07-20 10:37:08.963 [pushExecuteTask-Thread] [WARN ] [com.alibaba.configcenter.registry.service.push.PushFlowControl] - current push speed: 0 MB/s, target: 80 MB/s, pushCount: 6
2017-07-20 10:37:10.182 [http-nio-8080-exec-14] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:37:10.184 [http-nio-8080-exec-2] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:37:12.877 [http-nio-8080-exec-15] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
